idx	word	raw	pos	infl	lookup	parent	deri	idk	js
9.1	kaataghesnaghtuuq#V	kaataghesnaghtuuq	V	[Ind.Intr]^[3Sg]		9	~f(a)ghesnagh(V__)		{}
9.2	kaataataghtuuq#V	kaataataghtuuq	V	[Ind.Intr]^[3Sg]		9	~aatagh(V__)		{}
9.3	kaataquuq#V	kaataquuq	V	[Ind.Intr]^[3Sg]		9	~(g)aqe(V__)		{}
9.4	kaatkaaguuq#V	kaatkaaguuq	V	[Ind.Intr]^[3Sg]		9	@~_(g)kau(V__)		{}
9.5	kaatkaaguuq#V	kaatkaaguuq	V	[Ind.Intr]^[3Sg]		9	@~_(g)kau(V__)		{}
9.6	kaasimaaq#V	kaasimaaq	V	[Ind.Intr]^[3Sg]		9	@~:(i/u)ma(V__)		{}
9.7	kaallaaghigatuuq#V	kaallaaghigatuuq	V	[Ind.Intr]^[3Sg]		9	@laaghigate(V__)		{}
9.8	kaallaataquuq#V	kaallaataquuq	V	[Ind.Intr]^[3Sg]		9	@laataqu(V__)		{}
9.9	kaallghii#N	kaallghii	N	[Abs.Sg]		9	@__ghii(V__)		{}
9.1	kaallequuq#V	kaallequuq	V	[Ind.Intr]^[3Sg]		9	@lleqe(V__)		{}
9.11	kaallughtuuq#V	kaallughtuuq	V	[Ind.Intr]^[3Sg]		9	@lugh(V__)		{}
9.12	kaannaaghtuuq#V	kaannaaghtuuq	V	[Ind.Intr]^[3Sg]		9	@~fnaagh(V__)		{}
9.13	kaannaquuq#V	kaannaquuq	V	[Ind.Intr]^[3Sg]		9	@~fnaqe(V__)		{}
9.14	kaanneghhaaq#N	kaanneghhaaq	N	[Abs.Sg]		9	@__ghhagh(V__)		{}
9.15	kaanneghituuq#V	kaanneghituuq	V	[Ind.Intr]^[3Sg]		9	@__ghite(V__)		{}
9.16	kaasigwatuuq#V	kaasigwatuuq	V	[Ind.Intr]^[3Sg]		9	@~:(ng)igate(V__)		{}
9.17	kaatepigwesnaghtuuq#V	kaatepigwesnaghtuuq	V	[Ind.Intr]^[3Sg]		9	__igesnagh(V__)		{}
9.18	kaatqaghtuuq#V	kaatqaghtuuq	V	[Ind.Intr]^[3Sg]		9	~__aghte(V__)		{}
9.19	kaatquutuuq#V	kaatquutuuq	V	[Ind.Intr]^[3Sg]		9	~(q/t)uute(V__)		{}
9.2	kaarragkiightuuq#V	kaarragkiightuuq	V	[Ind.Intr]^[3Sg]		9	@~f__agkiigh(V__)		{}
9.21	kaatutuuq#V	kaatutuuq	V	[Ind.Intr]^[3Sg]		9	@~:(u)te(V__)		{}
9.22	kaatfiik#N	kaatfiik	N	[Abs.Sg]		9	@~fvig(V__)		{}
9.23	kaatutuuq#V	kaatutuuq	V	[Ind.Intr]^[3Sg]		9	@~:(u)te(V__)		{}
9.24	kaallghii#N	kaallghii	N	[Abs.Sg]		9	@__ghii(V__)		{}
9.25	kaarragkiightuuq#V	kaarragkiightuuq	V	[Ind.Intr]^[3Sg]		9	@~f__agkiigh(V__)		{}
9.26	kaasimaaq#V	kaasimaaq	V	[Ind.Intr]^[3Sg]		9	@~:(i/u)ma(V__)		{}
9.27	kaatfiik#N	kaatfiik	N	[Abs.Sg]		9	@~fvig(V__)		{}
9.28	kaallequuq#V	kaallequuq	V	[Ind.Intr]^[3Sg]		9	@lleqe(V__)		{}
9.29	kaannaquuq#V	kaannaquuq	V	[Ind.Intr]^[3Sg]		9	@~fnaqe(V__)		{}
9.3	kaasugtuuq#V	kaasugtuuq	V	[Ind.Intr]^[3Sg]		9	@~fyug(V__)		{}
9.31	kaanneghituuq#V	kaanneghituuq	V	[Ind.Intr]^[3Sg]		9	@__ghite(V__)		{}
9.32	kaasimata#N	kaasimata	N	[Abs.Sg]		9.31	@~:(u)te(V__)		{}
9.33	kaasimata#N	kaasimata	N	[Abs.Sg]		9.31	@~:(u)te(V__)		{}
									
10	ketuuq#V	ketuuq	V	[Ind.Intr]^[3Sg]					{}
10.1	ketaghesnaghtuuq#V	ketaghesnaghtuuq	V	[Ind.Intr]^[3Sg]		10	~f(a)ghesnagh(V__)		{}
10.2	kennaquuq#V	kennaquuq	V	[Ind.Intr]^[3Sg]		10	@~fnaqe(V__)		{}
10.3	ketaghesnaghyaghqaaguuq#V	ketaghesnaghyaghqaaguuq	V	[Ind.Intr]^[3Sg]		10.2	@~fyaghqau(V__)		{}
10.4	ketaghesnaghyaghqaaguuq#V	ketaghesnaghyaghqaaguuq	V	[Ind.Intr]^[3Sg]		10.2	@~fyaghqau(V__)		{}
									
11	nalugutuuq#V	nalugutuuq	V	[Ind.Intr]^[3Sg]					{}
11.1	nalugutaghesnaghtuuq#V	nalugutaghesnaghtuuq	V	[Ind.Intr]^[3Sg]		11	~f(a)ghesnagh(V__)		{}
11.2	nalugutaghesnaan#N	nalugutaghesnaan	N	[Abs.Sg]		11.1	@~:(u)te(V__)		{}
11.3	nalugutaghesnaan#N	nalugutaghesnaan	N	[Abs.Sg]		11.1	@~:(u)te(V__)		{}
									
12	qiivuuq#V	qiivuuq	V	[Ind.Intr]^[3Sg]					{}
12.1	qiivaghesnaghtuuq#V	qiivaghesnaghtuuq	V	[Ind.Intr]^[3Sg]		12	~f(a)ghesnagh(V__)		{}
12.2	qiivyukaghtuuq#V	qiivyukaghtuuq	V	[Ind.Intr]^[3Sg]		12	@~fyukagh(V__)		{}
12.3	qiivaghesnaghaquuq#V	qiivaghesnaghaquuq	V	[Ind.Intr]^[3Sg]		12.2	~(g)aqe(V__)		{}
12.4	qiivyukanghituuq#V	qiivyukanghituuq	V	[Ind.Intr]^[3Sg]		12.3	@__ghite(V__)		{}
									
13	kaatutuuq#V	kaatutuuq	V	[Ind.Intr]^[3Sg]					{}
13.1	kaatutaghesnaghtuuq#V	kaatutaghesnaghtuuq	V	[Ind.Intr]^[3Sg]		13	~f(a)ghesnagh(V__)		{}
									
14	pangalegtuuq#V	pangalegtuuq	V	[Ind.Intr]^[3Sg]					{}
14.1	pangalgaghtaghtuuq#V	pangalgaghtaghtuuq	V	[Ind.Intr]^[3Sg]		14	~aghtagh(V__)		{}
14.2	pangalwaaghtuuq#V	pangalwaaghtuuq	V	[Ind.Intr]^[3Sg]		14	~_(ghw/ngw/w)aagh(V__)		{}
14.3	pangalkaaguuq#V	pangalkaaguuq	V	[Ind.Intr]^[3Sg]		14	@~_(g)kau(V__)		{}
									
15	mamlegtuuq#V	mamlegtuuq	V	[Ind.Intr]^[3Sg]					{}
15.1	mamlegaghtaghtuuq#V	mamlegaghtaghtuuq	V	[Ind.Intr]^[3Sg]		15	~aghtagh(V__)		{}
